Datetime,Tweet Id,Text,Username
2022-12-13 06:15:54+00:00,1602547845038587904,"رجیم چینج مبارک بھکاریوں
#امپوڑٹڈ_حکومت_نامنظور https://t.co/BqX0R3GZYY",SaadiRaja007
2022-12-06 13:24:39+00:00,1600119026587299840,"عزت صرف اسی ادارے کی کریں گے جو عمران خان کے ساتھ کھڑا ہوگا۔۔۔بات ختم @ImranKhanPTI 
#امپوڑٹڈ_حکومت_نامنظور #ImranRiazKhan",its_kamrantahir
2022-12-02 13:54:14+00:00,1598676918471114754,"@sanamkh22 @hinaparvezbutt غلامی کرنا اس کو کہتے ہیں کہ جو ہمارا لیڈر کہ دے گا وہ ہم مانیں گے بیشک وہ بکواس ہی کیوں نہ کر رہا ہو۔ ہم ویسے غلام نہیں ہیں۔ ہمیں جب اس سے اختلاف تھا تو ہم نے اس کا ساتھ نہیں دیا اور تم نونی شوشیوں کو موقع فراہم کر دیا۔  اس لئے اپنا گیان اپنے پاس رکھو۔
#امپوڑٹڈ_حکومت_نامنظور",Ajmirxa
2022-12-01 07:52:32+00:00,1598223507317366784,"فضل الرحمان کی ذہنیت کا اندازہ اس کے الفاظ سے ہوتا ھے۔ 
اس نے ماں اور خواتین کی توہین کی۔ 
اللہ تعالٰی کا گناہ گار ہوا،تھمت لگائ ا اسکی سزا کوڑے ھیں۔ 

#امپوڑٹڈ_حکومت_نامنظور 
#امپورٹڈ__حکومت__نامنظور
#PakistanNeedsImranKhan  
#PakistanUnderFascism",5Ambreen5
2022-11-29 14:34:48+00:00,1597599967014981632,ہم سجھ رہے تھے یہ پٹرول،بجلی،چنیی سستی کرنے آے یہں😡😡😡😡 #امپوڑٹڈ_حکومت_نامنظور #یوم_انقلاب_26_نومبر  #شرم_سے_ڈوب_مرو_ https://t.co/ail079gDLh,FurqanHaiderPTI
2022-11-29 14:28:05+00:00,1597598274294525953,ہم سجھ رہے تھے یہ پٹرول،بجلی،چنیی سستی کرنے آے یہں😡😡😡😡 #امپوڑٹڈ_حکومت_نامنظور #یوم_انقلاب_26_نومبر  #شرم_سے_ڈوب_مرو_ https://t.co/Ipn78hcXE6,AyeshaSheikhjee
2022-11-28 13:16:32+00:00,1597217880441262082,الوداعی ملاقات میں صدر صاحب نے مرشد پاک کی تصویر سامنے رکھ دی #master_stroke_by_Alvi #امپوڑٹڈ_حکومت_نامنظور  #عمران_خان_ہماری_ریڈ_لائن_ہے  #ہم_غلام_نہیں_ہیں https://t.co/TIARrnpzvf,AyeshaSheikhjee
2022-11-27 23:04:45+00:00,1597003524508127232,"اوہ احمق یہ عمران خان ہےاصلی شیر ... نواز شریف جیسا بزدل گیدڑ نہیں جو ہر بار لوٹ مار کے بعد بیرون ملک بھاگے گا 😂😂😂
#امپوڑٹڈ_حکومت_نامنظور
#NawazSharif 
#PanamaLeaks",ShaziaAliQazi
2022-11-24 16:59:25+00:00,1595824420249034754,"@ImranKhanPTI
امپورٹڈ حکومت کے سر سے دست شفقت اٹھ گیا 
سرپرائز ملنے والا ہے 
انصافین تیار ہو جائیں
#امپوڑٹڈ_حکومت_نامنظور",Babar_M_Khan
2022-11-24 12:43:10+00:00,1595759934385586177,"عمران خان کہتے ہیں کہ میں نے جنرل باجوہ کو رجیم چینج سے پہلے کہا تھا کہ یہ مت کریں۔ معیشت ڈوب جاۓ گی۔ مجرم خود کو NRO دے دینگے

آج آٹھ ماہ بعد جنرل باجوہ کہتے ہیں کہ معیشت ڈوب گئی ہے۔ تمام جماعتیں مل کر حل نکالیں۔

سر آپ تجربہ نا ہونے دیتے!
#امپوڑٹڈ_حکومت_نامنظور 
#چوکیدار_چور_ہے https://t.co/Eq7xlxAizi",HaneefAaqib
2022-11-24 12:40:51+00:00,1595759351054176258,"@ImranKhanPTI
عمران خان آج بھی میرا وزیراعظم ہے
#امپوڑٹڈ_حکومت_نامنظور https://t.co/MzvLdfdFVZ",Babar_M_Khan
